Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.631653	4.66649	0.622586	4.59656			0.807028	5.97382	0.806521	5.97657		
0.634436	4.66489	0.625697	4.5977			0.809251	5.9619	0.808742	5.96461		
0.637223	4.66334	0.628806	4.59882			0.811485	5.95017	0.810973	5.95284		
0.640014	4.66183	0.631912	4.5999			0.813729	5.93863	0.813215	5.94125		
0.642811	4.66038	0.635016	4.60097			0.815983	5.92727	0.815467	5.92985		
0.645611	4.65896	0.638118	4.602			0.818248	5.91609	0.817729	5.91863		
0.648416	4.6576	0.641217	4.60301			0.820523	5.90509	0.820002	5.90759		
0.651226	4.65627	0.644314	4.604			0.822808	5.89426	0.822284	5.89672		
0.654039	4.65499	0.647409	4.60496			0.825103	5.88361	0.824578	5.88603		
0.656857	4.65375	0.650502	4.60589			0.827409	5.87312	0.826881	5.8755		
0.659678	4.65255	0.653593	4.6068			0.829724	5.8628	0.829194	5.86515		
0.662504	4.65139	0.656681	4.60769			0.83205	5.85265	0.831517	5.85495		
0.665334	4.65026	0.659767	4.60855			0.834386	5.84265	0.833851	5.84492		
